店名,住所
イトーヨーカドー花巻店,岩手県花巻市下小舟渡１１８－１イトーヨーカドー花巻
ソユーファミリーゲームフィールド花巻店,岩手県花巻市高木第１６地割６８－６銀河モール花巻
モーリーファンタジー遠野店,岩手県遠野市新穀町１－１１遠野ショッピングセンターとぴあ２階
ソユーゲームフィールド釜石店,岩手県釜石市港町二丁目１－１イオンタウン釜石３階
アミューズメントパークアルコ,岩手県紫波郡矢巾町南矢幅７－４２５－３ショッピングモールアルコ
ゲームランドプレーゴ金ヶ崎店,岩手県胆沢郡金ケ崎町三ケ尻新巻１６５イオンスーパーセンター金ケ崎
GAMEBANK仙台泉,宮城県仙台市泉区大沢２－５－４ＧＡＭＥＢＡＮＫ仙台泉
namcoアリオ仙台泉店,宮城県仙台市泉区泉中央一丁目五番地アリオ仙台泉
namcoヨークタウン市名坂店,宮城県仙台市泉区市名坂字中道１００－９ヨークタウン一名坂
イオンスーパーセンター鈎取店,宮城県仙台市太白区鈎取本町１－２１－１鈎取ショッピングセンター
イトーヨーカドーアリオ内仙台泉店,宮城県仙台市泉区泉中央１－５－１アリオ仙台泉
ゲームコーナー東部,宮城県仙台市若林区六丁の目中町２６－６０斎喜東部ビル２階
ザ・モール仙台長町キッズパーク,宮城県仙台市太白区長町７－２０－３西友仙台長町
スイーツ・ハート仙台泉店,宮城県仙台市泉区大沢１丁目５－１イオン泉大沢ショッピングセンター２Ｆ
セガ仙台コロナワールド,宮城県仙台市宮城野区福室字田中前一番５３－１セガ仙台コロナワールド
タイトーステーション仙台クリスロード店,宮城県仙台市青葉区中央２－３－２５
トイザらス仙台泉大沢店,宮城県仙台市泉区大沢１－５－１イオン泉大沢ショッピングセンター
ビーカム愛子店,宮城県仙台市青葉区栗生７－１－１ビーカム愛子
ビーカム松森店,宮城県仙台市泉区松森斎兵衛５８－１ビーカム松森
モーリーファンタジー仙台中山店,宮城県仙台市泉区南中山１－３５－４０イオン仙台中山
モーリーファンタジー仙台店,宮城県仙台市青葉区中央2-3-6イオン仙台6F
ヤマダ電機LABI仙台,宮城県仙台市青葉区中央3-6-1ヤマダ電機LABI仙台
ヨドバシカメラマルチメディア仙台,宮城県仙台市宮城野区榴岡１－２－１３ヨドバシカメラマルチメディア仙台
仙台レジャーランド一番町店,宮城県仙台市青葉区一番町４－３－２７ガレリア一番町ビル
西友仙台長町店,宮城県仙台市太白区長町７－２０－３西友仙台長町
namcoイオンモール名取店,宮城県名取市杜せきのした5-3-1イオンモール名取
