店名,住所
モーリーファンタジー上越店,新潟県上越市富岡３４５７上越ショッピングセンターアコーレ
上越レジャーランボウル,新潟県上越市下門前薬島８２７－２上越レジャーランボウル
ウオロク五泉店,新潟県五泉市今泉９３０ウオロク五泉
PALO十日町店,新潟県十日町市旭町161リオン・ドール十日町1F
モーリーファンタジー十日町店,新潟県十日町市字川端丑784-1イオン十日町1階
モーリーファンタジー六日町店,新潟県南魚沼市余川３１００イオン六日町２階
モーリーファンタジー上越新井店,新潟県妙高市栗原４－７－１１新井ショッピングセンター１階
モーリーファンタジー小千谷店,新潟県小千谷市大字平沢新田字荒田３３９イオン小千谷２階
PLANT-5横越店,新潟県新潟市江南区横越中央８－２－２ＰＬＡＮＴ－５横越
アピタ新潟亀田店,新潟県新潟市江南区鵜ノ子４－４６６アピタ新潟亀田
アピタ新潟西店,新潟県新潟市西区小新４７４アピタ新潟西
イオン新潟西店,新潟県新潟市西区小新南２－１－１０イオン新潟西
イトーヨーカドー丸大新潟店,新潟県新潟市中央区本町通り６－１１２２－１イトーヨーカドー丸大新潟
ウオロクスーパーセンター新津店,新潟県新潟市秋葉区新津５１６３－３ウオロクスーパーセンター新津
ウオロク巻店,新潟県新潟市西蒲区巻甲４８６２ウオロク巻
カプコサーカス新潟東店,新潟県新潟市東区大形本町３－１－２イオン新潟東
ソユーゲームフィールド白根店,新潟県新潟市南区能登４０９－２イオン白根
タイトーFステーションイオン新潟西店,新潟県新潟市西区小新南２－１－１０イオン新潟西３Ｆ
デッキー401ファミリーパーク,新潟県新潟市中央区上近江４－１２－２０デッキィ４０１２階
ハローズガーデン　新潟亀田店,新潟県新潟市江南区鵜ノ子４－４６６アピタ新潟亀田２Ｆ
ハローズガーデン新潟西店,新潟県新潟市西区小新白鳥４７４アピタ新潟西２階
ビックカメラ新潟店,新潟県新潟市中央区花園１－１－２１ＣｏＣｏＬｏ南館
ベイシア豊栄店ファミリーランドあそびのくに,新潟県新潟市北区かぶとやま２－１－６２ベイシア新潟豊栄
メジャーロード黒埼店,新潟県新潟市西区山田３３０３メジャーロード黒埼
モーリーファンタジー・f新潟南店,新潟県新潟市江南区下早通柳田１丁目１番１号イオンモール新潟南２階
モーリーファンタジー新潟南店,新潟県新潟市江南区下早通柳田1イオンモール新潟南
モーリーファンタジー新潟東店,新潟県新潟市東区大形本町３－１－２イオン新潟東３階
モーリーファンタジー新潟青山店,新潟県新潟市西区青山２－５－１イオン新潟青山３階
ヨドバシカメラマルチメディア新潟駅前店,新潟県新潟市中央区花園１－１－１ＣｏＣｏＬｏ
ウオロク新発田コモ店,新潟県新発田市舟入町３－１２－１１ウオロク新発田コモ
ウオロク緑店,新潟県新発田市緑町３－３－２３ウオロク緑
ソユー新発田,新潟県新発田市住吉町５－１１－５イオン新発田２Ｆ
モーリーファンタジー新発田店,新潟県新発田市住吉町５丁目１１番５号イオン新発田２階
イオン村上東店,新潟県村上市仲間町２００イオン村上東
MEGAドン・キホーテ柏崎店,新潟県柏崎市東長浜町４－１５ＭＥＧＡドン・キホーテ柏崎
イトーヨーカドー丸大柏崎店,新潟県柏崎市駅前２－３－７イトーヨーカドー丸大柏崎
ウオロク柏崎,新潟県柏崎市宝町1-84
ナムコランドMEGAドン・キホーテ柏崎店,新潟県柏崎市東長浜町４－１５ＭＥＧＡドン・キホーテ柏崎２Ｆ
オーケーコーラル,新潟県燕市佐渡２８５３オーケーコーラル
タイトーFステーション燕三条店,新潟県燕市井土巻３－１５０イオン県央１階
モーリーファンタジー県央店,新潟県燕市井土巻３－６５イオン県央２階
PLANT-5見附店,新潟県見附市上新田町７２５－１ＰＬＡＮＴ－５見附
ウオロク見附店,新潟県見附市葛巻町1655ウオロク見附
メジャーロード24,新潟県見附市今町４丁目２０番地５６８番地１メジャーロード２４
アピタ長岡店,新潟県長岡市千秋２－２７８リバーサイド千秋
アピナ長岡店,新潟県長岡市堺東町２２アピナ長岡
イオン長岡店,新潟県長岡市古正寺１－２４９－１イオン長岡
イトーヨーカドー丸大長岡店,新潟県長岡市城内町２－３－１２イトーヨーカドー丸大長岡
トイザらス長岡店,新潟県長岡市川崎町１４３６－５トイザらス長岡
ナムコランドイオン長岡店,新潟県長岡市古正寺１丁目２４９番１イオン長岡
ハローズガーデン長岡店,新潟県長岡市千秋２－２７８リバーサイド千秋２階
プラボ長岡店,新潟県長岡市堺町字浦田３１番地アークガレリア長岡
夢大陸長岡店,新潟県長岡市喜多町392-1夢大陸長岡
アピタ富山店,富山県富山市上袋１００アピタ富山
アピタ富山店ナムコランド,富山県富山市上袋１００番地アピタ富山２階
アピタ富山東店,富山県富山市上冨居３１０－１フェアモール富山
アピナ富山南,富山県富山市堀川町３５５－３マイプラザ
アピナ富山新庄店,富山県富山市荒川３－２－１２アピナ富山新庄
キッズサーカス五福,富山県富山市五福１１４３－１アリスショッピングセンター２階
ゲームインさんしょうアピタ富山,富山県富山市上袋１００－１アピタ富山２階
ゲームインさんしょう二口店,富山県富山市二口町５－９－８ゲームインさんしょう二口
タイトーステーションファボーレ婦中店,富山県富山市婦中町下轡田１６５－１フューチャーシティファボーレ２階
トヤマレジャーランド呉羽店,富山県富山市高木２０５４トヤマレジャーランド呉羽
平和堂アル・プラザ富山,富山県富山市婦中町下轡田１６５－１フューチャーシティファボーレ
ｎａｍｃｏアピタ富山東店,富山県富山市上冨居３－８－３８フェアモール富山２Ｆ
モーリーファンタジー小杉店,富山県射水市三ヶ２６０２アル・プラザ小杉２階
PLANT-3滑川店,富山県滑川市上島４６０－１ＰＬＡＮＴ－３滑川
アピタ砺波店,富山県砺波市太郎丸４７８９－１アピタ砺波
モーリーファンタジーとなみ店,富山県砺波市中神土地区画整理事業地内３１街区１イオンモールとなみ２階
ゲットゲーム佐野店,富山県高岡市西藤平蔵１２５６－１クィーンオブノースランド
トイザらス高岡店,富山県高岡市下伏間江３８３イオン高岡南１Ｆ
モーリーファンタジー高岡南店,富山県高岡市下伏間江３８３イオン高岡南２階
モーリーファンタジー高岡店,富山県高岡市江尻３３１－１イオン高岡１階
ユーズランド高岡店,富山県高岡市下伏間江３８３イオン高岡南２階
アピタ魚津店,富山県魚津市住吉６００アピタ魚津
ナムコランドアピタ魚津店,富山県魚津市住吉６００番地アピタ魚津２Ｆ
アピタ黒部店,富山県黒部市前沢１０１７－４アピタ黒部
ナムコランドイオンモールかほく店,石川県かほく市内日角タ２５番イオンモールかほく
バイパスレジャーランド宇ノ気店,石川県かほく市森子８５バイパスレジャーランド宇ノ気
モーリーファンタジーかほく店,石川県かほく市内日角地内タ２５番イオンモールかほく２階
バイパスレジャーランド加賀店,石川県加賀市箱宮町ヲ１－１バイパスレジャーランド加賀
イオン小松店,石川県小松市平面町ア６９イオン小松
平和堂アル・プラザ小松,石川県小松市園町八２３－１アル・プラザ小松
アピタ松任店,石川県白山市幸明町２８０アピタ松任
イオン松任店,石川県白山市平松町１０２－１イオン松任
バイパスレジャーランド松任２号店,石川県白山市水澄町１７７バイパスレジャーランド松任２号
NAMCOLAND輪島,石川県輪島市宅田町４５－１パワーシティ輪島ワイプラザ
アピナ野々市店,石川県野々市市白山町４－１イオンタウン野々市
モーリーファンタジー・f御経塚店,石川県野々市市御経塚２丁目９１番地イオン御経塚１階
MEGAドン・キホーテラパーク金沢店,石川県金沢市西泉４－１１ＭＥＧＡドン・キホーテラパーク金沢
セガイオンタウン金沢示野,石川県金沢市示野中町８７街区２号イオンタウン金沢示野
セガワールド金沢,石川県金沢市諸江町３０－１アル・プラザ金沢２階
バイパスレジャーランド藤江本店新館,石川県金沢市藤江南２丁目１０５バイパスレジャーランド藤江本店新館１階
バロー金沢大桑店,石川県金沢市大桑３－１１３バロー金沢大桑
モーリーファンタジー杜の里店,石川県金沢市もりの里１丁目７０番地イオン杜の里２階
平和堂アル・プラザ金沢,石川県金沢市諸江町３０－１アル・プラザ金沢
平和堂アル・プラザ津幡,石川県河北郡津幡町北中条１－１アル・プラザ津幡
アルプラザ鹿島店ナムコランド,石川県鹿島郡中能登町と１－１アル・プラザ鹿島２階
平和堂アル・プラザ鹿島,石川県鹿島郡中能登町井田と１－１アル・プラザ鹿島
オモローランドイ-ザ店,福井県坂井市三国町三国東５－１－２０三国ショッピングワ－ルドイ－ザ１Ｆ
平和堂アル・プラザアミ,福井県坂井市春江町随応寺第１６－１１アル・プラザアミ
namcoアピタ敦賀店,福井県敦賀市中央町一丁目５番５号アピタ敦賀２Ｆ
アピタ敦賀店,福井県敦賀市中央町１－５－５アピタ敦賀
平和堂アル・プラザ敦賀,福井県敦賀市白銀町１１－５平和堂アル・プラザ敦賀
namcoフェアモール福井大和田店,福井県福井市大和田町第３２号２３番地フェアモール福井２Ｆ
アピタ福井大和田店,福井県福井市大和田町第３２号３２フェアモール福井
ジョイランドベル店,福井県福井市花堂南２丁目１６－１ショッピングシティベル
ナムコランドアピタ福井店,福井県福井市飯塚町１１－１１１アピタ福井２階
モーリーファンタジー福井店,福井県福井市松城町12-7パリオシティ2F
レッツワクワク　エルパ店,福井県福井市大和田町第３２－２４－１エルパ
平和堂アル・プラザベル,福井県福井市花堂南２－１６－１ショッピングシティベル
福井レジャーランドワイプラザ店,福井県福井市新保町北１丁目３０３番地ヤスサキワイプラザＢ棟２階
PALO武生店,福井県越前市横市町28-14-1エスカモール武生楽市1F
キッズサーカスシピィ店,福井県越前市新町７－８武生シピィ２Ｆ
セガワールド武生,福井県越前市新町３字１３－４セガワールド武生
モーリーファンタジー鯖江店,福井県鯖江市下河端１６字下町１６－１アル・プラザ鯖江２階
平和堂アル・プラザ鯖江,福井県鯖江市下河端町１６－１６－１アル・プラザ鯖江
アピタ田富店,山梨県中央市山之神１３８３－９アピタ田富
ナムコランド　リバーシティ店,山梨県中央市山ノ神１１２２オギノリバーシティＳＣ
ハローズガーデン田富店,山梨県中央市山之神１３８３－９アピタ田富２階
モーリーファンタジー南アルプス店,山梨県南アルプス市小笠原1423-1トライアル南アルプス地下1階
イオン大月店,山梨県大月市御太刀１－１３－２９ダイエー大月
プレイタウンパルQ-STA店,山梨県富士吉田市上吉田２－５－１富士山駅ビルショッピングセンターＱ－ＳＴＡ
スタジオプリモ甲府店,山梨県甲府市丸の内１－１６－２０ココリ２Ｆ
モーリーファンタジー湯村店,山梨県甲府市千塚1-9-14オギノ湯村4F
岡島甲府店プレイランド,山梨県甲府市丸の内１－２１－１５岡島百貨岡島甲府
アピタ双葉店,山梨県甲斐市志田６４５－１ラザウォーク甲斐双葉
タイトーFステーションラザウォーク甲斐双葉店,山梨県甲斐市志田字柿木６１６－１ラザウォーク甲斐双葉アミューズメント棟１Ｆ
アピタ石和店,山梨県笛吹市石和町窪中島１５４アピタ石和
ハローズガーデン石和店,山梨県笛吹市石和町窪中島１５４アピタ石和２階
モーリーファンタジー石和店,山梨県笛吹市石和町駅前１６－１イオン石和
わいわいランド甲府昭和店,山梨県中巨摩郡昭和町西条１３－１イトーヨーカドー甲府昭和２階
イトーヨーカドー甲府昭和店,山梨県中巨摩郡昭和町西条１３－１イトーヨーカドー甲府昭和
プラサカプコン甲府店,山梨県中巨摩郡昭和町西条３７１７プラサカプコン甲府
モーリーファンタジー甲府昭和店,山梨県中巨摩郡昭和町常永土地区画整理地内１街区イオン甲府昭和３階
楽市楽座イオンモール甲府店,山梨県中巨摩郡昭和町常永土地区画整理内１街区イオン甲府昭和
アミュージアム河口湖店,山梨県南都留郡富士河口湖町船津２９８６河口湖ショッピングセンターベル３Ｆ
namcoアリオ上田店,長野県上田市天神３丁目ー１－１街区他アリオ上田
アピナ上田,長野県上田市秋和３５９－１アピナ上田
イトーヨーカドー　アリオ内上田店,長野県上田市天神３－５－１アリオ上田
セガワールド上田,長野県上田市大字上田１８４７－１ＴＳＵＴＡＹＡ上田バイパス
モーリーファンタジー上田店,長野県上田市常田２－１２－１８イオン上田２階
モーリーファンタジー中野店,長野県中野市大字一本木２５２－１イオン中野２階
アピタ伊那店,長野県伊那市大字伊那字下川原５１９８アピタ伊那
アピナ伊那店,長野県伊那市西町５０９３アピナ伊那
namcoイオン佐久平店,長野県佐久市佐久平駅南１１番地１０イオン佐久平
アピナ佐久インター店,長野県佐久市岩村田北１－１３－１アピナ佐久インター
イオン佐久平店,長野県佐久市佐久平駅南１１－１０イオン佐久平
パロ佐久店,長野県佐久市岩村田６－２ステーションパーク佐久１Ｆ・２Ｆ
ベイシア更埴店,長野県千曲市大字桜堂字西神３３０－１ベイシア更埴
アピナ塩尻店,長野県塩尻市広丘野村１７９４－１アピナ塩尻
アピナ穂高店,長野県安曇野市穂高２４５０アピナ穂高
セガワールド豊科,長野県安曇野市豊科南穂高１１１５セガワールド豊科
モーリーファンタジー豊科店,長野県安曇野市豊科４２７２－１０イオン豊科２階
アピタ岡谷店,長野県岡谷市銀座一丁目1番5号
レイクウォーク岡谷店ゲームコーナー,長野県岡谷市銀座1丁目1-5レイクウォーク岡谷店2階
ＡＧスクエア岡谷店,長野県岡谷市塚間町２－１－２１ＡＧスクエア岡谷
アピナ松本店,長野県松本市双葉１９－１０アピナ松本
イトーヨーカドーアリオ松本,長野県松本市深志１－２－３０アリオ松本
イトーヨーカドー南松本店,長野県松本市高宮中１－２０イトーヨーカドー南松本
セガ松本店,長野県松本市渚１－７－１セガ松本
モーリーファンタジー南松本店,長野県松本市双葉５－２０イオン南松本２階
PALO諏訪店,長野県諏訪市沖田町5丁目18諏訪ステーションパーク
MEGAドン・キホーテ長野店,長野県長野市高田１７５８ＭＥＧＡドン・キホーテ長野
らんらんらんど長野若里店,長野県長野市若里３丁目２２－１ケーズタウン若里ＳＣ２Ｆ
アピナ川中島店,長野県長野市川中島町御厨９６７－１アピナ川中島
アピナ長野大橋店,長野県長野市若里７－９－１２アピナ長野大橋
アピナ長野村山店,長野県長野市村山５０２－１アピナ長野村山
イトーヨーカドー長野店,長野県長野市権堂町２２０１イトーヨーカドー長野
ソユーゲームフィールドイオンタウン長野三輪店,長野県長野市三輪九丁目４３番２４号イオンタウン長野三輪
トイザらス長野店,長野県長野市高田１１７４ヤングファラオ２Ｆ
ファンタジープラザ長野,長野県長野市高田１７５８ＭＥＧＡドン・キホーテ長野２階
西友川中島店,長野県長野市川中島町今井１８１４－１西友川中島
アピタ飯田店,長野県飯田市鼎名古熊２４６１アピタ飯田
アピタ飯田店ゲームコーナー,長野県飯田市鼎名古熊２４６１アピタ飯田
アピナ飯田店,長野県飯田市座光寺３７２７－１アピナ飯田
モーリーファンタジー飯田アップルロード店,長野県飯田市鼎一色４５６イオン飯田アップルロード２階
モーリーファンタジー飯田店,長野県飯田市上郷飯沼１５７５イオン飯田２階
タイトーステーションアイシティ２１松本店,長野県東筑摩郡山形村７９７７アイシティ２１
アピタ中津川店,岐阜県中津川市淀川町３－８アピタ中津川
ファンタジックランド可児店,岐阜県可児市下恵土５７５０ヨシヅヤ可児３階
namcoイオンモール各務原店,岐阜県各務原市那加萱場町３丁目８番地イオン各務原２Ｆ
アピタ各務原店,岐阜県各務原市鵜沼各務原町８－７アピタ各務原
モーリーファンタジー各務原店,岐阜県各務原市那加萱場町３－８イオン各務原３階
セガワールド多治見,岐阜県多治見市住吉町１－１－１セガワールド多治見
ピアゴ多治見店,岐阜県多治見市住吉町３－１９ピアゴ多治見
モーリーファンタジー多治見店,岐阜県多治見市西坂町5-31-1多治見インターモール1F
KOKADOTOWN大垣店,岐阜県大垣市外野２－１００イオンモール大垣２Ｆ
にこぱアクアウォーク大垣店,岐阜県大垣市林町６－８０－２１アクアウォーク大垣２Ｆ
アピタ大垣店,岐阜県大垣市林町６－８０－２１アクアウォーク大垣
カラフルパーク大垣店,岐阜県大垣市三塚町丹瀬４６３－１イオンタウン大垣ＥＡＳＴ棟
セガワールドアクアウォーク大垣,岐阜県大垣市林町６－８０－２１アクアウォーク大垣
モーリーファンタジー大垣店,岐阜県大垣市外野２丁目１００番イオンモール大垣２階
平和堂アル・プラザ鶴見,岐阜県大垣市鶴見町６４１－２アル・プラザ鶴見
平和堂高富店,岐阜県山県市高木１４７３平和堂高富
namcoカラフルタウン岐阜店,岐阜県岐阜市柳津町丸野３－３－６カラフルタウン岐阜
アピタ岐阜店,岐阜県岐阜市加納神明町６－１アピタ岐阜
イトーヨーカドー柳津店,岐阜県岐阜市柳津町丸野３－３－６カラフルタウン岐阜
トイザらス岐阜店,岐阜県岐阜市正木中１－２－１イオン岐阜１Ｆ
プレビVタウン芥見,岐阜県岐阜市芥見南山2‐1‐8Vタウン芥見内
モーリーファンタジー・f岐阜店,岐阜県岐阜市正木中１－２－１イオン岐阜北館　イオン３Ｆ
ラウンドワンモレラ岐阜店,岐阜県本巣市三橋１１００モレラ岐阜
PLANT-6瑞穂店,岐阜県瑞穂市犀川５－３８ＰＬＡＮＴ－６瑞穂
岐阜レジャーランド穂積店,岐阜県瑞穂市稲里６３０番地岐阜レジャーランド穂積
アピタ美濃加茂店,岐阜県美濃加茂市野笹町２－５－６５アピタ美濃加茂
バローランド羽島,岐阜県羽島市江吉良町2939ホームセンターバロー羽島インター
セガワールドソニックタウン関,岐阜県関市倉知５１６番地イオン関
モーリーファンタジー関店,岐阜県関市倉知５１６イオン関１階
アピタ飛騨高山店,岐阜県高山市国府町金桶４１アピタ飛騨高山
アピタ御嵩店,岐阜県可児郡御嵩町上恵土１０５２番１アピタ御嵩
Ｇ－ＳＱＵＡＲＥラスパ御嵩店,岐阜県可児郡御嵩町上恵土字西畑１０５２番地１アピタ御嵩２階
平和堂大野店,岐阜県揖斐郡大野町大字黒野字上柿木１２－１平和堂大野
アピタ北方店,岐阜県本巣郡北方町平成２－３アピタ北方
イトーヨーカドー三島店,静岡県三島市中田町９－３０イトーヨーカドー三島
ファミリーランド三島店,静岡県三島市中田町９－３０イトーヨーカドー三島３Ｆ
ミシマトイス,静岡県三島市本町３－３５ミシマトイス
アピタ伊東店,静岡県伊東市玖須美元和田７２０－１４３アピタ伊東
アピタ大仁店,静岡県伊豆の国市吉田字九十分１５３－１アピタ大仁
タイトーＦステーションイオン富士宮店,静岡県富士宮市浅間町１番８号イオン富士宮３階
モーリーファンタジー富士宮店,静岡県富士宮市浅間町1-8イオン富士宮2階
アピタ富士吉原店,静岡県富士市国久保２－１－１０アピタ富士吉原
ザ・サードプラネット富士店,静岡県富士市永田町２－９９ザ・サードプラネット富士
ハローズガーデン富士吉原店,静岡県富士市国久保２－１－１０アピタ富士吉原２Ｆ
モーリーファンタジー・f富士南店,静岡県富士市鮫島１１８－１０イオンタウン富士南２階
モーリーファンタジー富士中里店,静岡県富士市中里字鬼ヶ島2566-21ピアゴ中里1F
夢大陸お宝中古市場富士本店,静岡県富士市中里２５８８－２夢大陸富士本店
アピタ島田店,静岡県島田市宝来町８－２アピタ島田
ハローズガーデン島田店,静岡県島田市宝来町８－２アピタ島田２階
BANDAIａｓｏｂｉ：御殿場店,静岡県御殿場市深沢１３１２御殿場プレミアムアウトレット2040
モーリーファンタジー御殿場店,静岡県御殿場市萩原636番地サンサンプラザ御殿場3F
AGスクエア掛川,静岡県掛川市細田２４８ＡＧスクエア掛川
アピタ掛川店,静岡県掛川市大池２２８６アピタ掛川
シートピアＹＡＺ大須賀店,静岡県掛川市西大渕３３５９ロックタウン
イトーヨーカドー沼津店,静岡県沼津市高島本町１－５イシバシプラザ
キッズトレイン沼津南店,静岡県沼津市西島町１０番１号マックスバリュ沼津南
ザ・サードプラネットＢｉＶｉ沼津店,静岡県沼津市大手町１－１－５ＢｉＶｉ沼津
ジョイランドアミューズ諏訪店,静岡県沼津市大諏訪叶２０－２ジョイランドアミューズ諏訪
西友沼津店,静岡県沼津市大岡１３３０－１西友沼津
MEGAドン・キホーテ浜松可美店,静岡県浜松市南区東若林町１１－１ＭＥＧＡドン・キホーテ浜松可美
アピタ初生店,静岡県浜松市初生町６２６－１アピタ初生
アピタ浜北店,静岡県浜松市浜北区貴布祢１２００プレ葉ウォーク浜北
サムソン初生店,静岡県浜松市北区初生町６２６－１アピタ初生２階
ザ・サードプラネットOZ浜松店,静岡県浜松市東区宮竹町３２２－１ＯＺ浜松
タイトーFステーションイオンモール浜松市野店,静岡県浜松市東区天王町１９８１－３イオンモール浜松市野２Ｆ
タイトーステーション新浜松ザザシティ店,静岡県浜松市中区鍛冶町１５サザンシティ浜松西館
タイトーＦステーションプレ葉ウォーク浜北,静岡県浜松市浜北区貴布祢１２００番地プレ葉ウォーク浜北
ビックカメラ浜松店,静岡県浜松市中区砂山町３２２－１ビックカメラ浜松
ピアゴ浜松泉町店,静岡県浜松市泉１－６－１ピアゴ浜松泉町
プラサカプコン志都呂店,静岡県浜松市西区志都呂町５６０５イオンモール浜松志都呂３階
ポート24浜松店,静岡県浜松市西区坪井町４１８３ポート２４浜松
モーリーファンタジー浜松市野店,静岡県浜松市東区天王町字諏訪１９８１－３イオンモール浜松市野２階
モーリーファンタジー浜松志都呂店,静岡県浜松市西区志都呂町５６０５番地イオンモール浜松志都呂３階
モーリーファンタジー浜松西店,静岡県浜松市西区入野町６２４４－１イオン浜松西３階
楽市楽座サンストリート浜北店,静岡県浜松市浜北区平口２８６１サンストリート浜北Ｍ－２０７
ＹＡＺＷＯＲＬＤ浜松葵店,静岡県浜松市中区葵西２－２７－１０イオンタウン浜松葵
ザ・サードプラネット焼津,静岡県焼津市八楠３－１８－５ザ・サードプラネット焼津
シートピアYAZ焼津店,静岡県焼津市道原５８５シートピアＹＡＺ焼津
モーリーファンタジー焼津店,静岡県焼津市祢宜島５５５イオン焼津
namcoららぽーと磐田店,静岡県磐田市高見丘１２００番地ららぽーと磐田２階
namcoアピタ磐田店,静岡県磐田市今之浦３－１－１１アピタ磐田２階
アピタ磐田店,静岡県磐田市今之浦3-1-11アピタ磐田
ＡＧスクエア磐田店,静岡県磐田市下万能４１３ＡＧスクエア磐田
ＬＡＮＤ藤枝店,静岡県藤枝市前島１－７－１０ＢｉＶｉ藤枝４階
AGスクエア袋井店,静岡県袋井市川井１１４２－１ＡＧスクエア袋井
ファミリーランド袋井,静岡県袋井市新池字原川田1158-1ピアゴ袋井店2F
モーリーファンタジー袋井店,静岡県袋井市上山梨4丁目1番地の1イオン袋井2階
モーリーファンタジー裾野店,静岡県裾野市佐野１０３９グルメシティ裾野１階
MARKIS静岡店,静岡県静岡市葵区柚木１９１ＭＡＲＫＩＳ静岡３階
SUPERWAVE静岡店,静岡県静岡市駿河区中吉田１５－８プラザアピア静岡
アピタ静岡店,静岡県静岡市駿河区石田１－５－１セントラルスクエア静岡
アミュージアム清水店,静岡県静岡市清水区入船町１３－１５エスパルスドリームプラザ
イトーヨーカドー静岡店,静岡県静岡市駿河区曲金３－１－５イトーヨーカドー静岡
カバロ静岡店,静岡県静岡市駿河区曲金３－１－５イトーヨーカドー静岡カパロ
ザ・サードプラネットフレスポ静岡店,静岡県静岡市清水区鳥坂８６０フレスポ静岡
ザ・サードプラネット静岡インター店,静岡県静岡市駿河区中野新田３８３－３ザ・サードプラネット静岡インター
セガワールド静岡,静岡県静岡市葵区七間町４－２静活プラザビル１、２Ｆ
ソユー竜宮タウン静岡店,静岡県静岡市駿河区石田１―５―１セントラルスクエア静岡
タイトーFステーション静岡店,静岡県静岡市葵区呉服町二丁目５番地４ふしみや第２ビル
プレビバロー清水高橋,静岡県静岡市清水区高橋5丁目1-1バロー清水高橋内
モーリーファンタジー清水店,静岡県静岡市清水区上原１－６－１６イオン清水２階
ＡＧスクエア清水店,静岡県静岡市清水区駒越北町８－１ベイドリーム清水
セガワールドサントムーン,静岡県駿東郡清水町玉川６１－２サントムーン柿田川
タイトーステーションウェルディ長泉店,静岡県駿東郡長泉町下長窪字城山１０７６ウェルディ長泉２Ｆ
モーリーファンタジー三好店,愛知県みよし市三好町青木９１番地イオン三好２階
namcoテラスウォーク一宮店,愛知県一宮市両郷町１－２テラスウォーク一宮２Ｆ
アピタ木曽川店,愛知県一宮市木曽川町黒田八ノ通り５１－４アピタ木曽川
ゲームゾーン,愛知県一宮市羽衣町２－５－１ゲームゾーン尾張一宮
セガイオンモール木曽川,愛知県一宮市木曽川町黒田字南八ツケ池２５－１イオン木曽川３Ｆ
セガワールド尾西,愛知県一宮市篭屋３－９－７アソビックス尾西
モーリーファンタジーピアゴ大和店,愛知県一宮市大和町毛受字一本松19番地ピアゴ大和2階
モーリーファンタジー妙興寺店,愛知県一宮市大和町妙興寺字白山西3番地2ピアゴ妙興寺3F
モーリーファンタジー木曽川店,愛知県一宮市木曽川町黒田字南南八ツケ池２５－１イオン木曽川２階
アピタ刈谷店,愛知県刈谷市南桜町２－５６－１アピタ刈谷
ザ・ビッグエクストラ刈谷店,愛知県刈谷市東境町京和１イオンタウン刈谷
セガイオンタウン刈谷,愛知県刈谷市東境町京和１イオンタウン刈谷
楽市街道名古屋店,愛知県北名古屋市中之郷字神明４５－１楽市街道名古屋
サムソン半田店,愛知県半田市乙川吉野町９パワードーム半田Ｂ１階
モーリーファンタジー半田店,愛知県半田市有楽町８－７イオン半田２階
namcoイオンモール大高店,愛知県名古屋市緑区大高町字奥平子１番１イオン大高４階
namcoイオンモール熱田店,愛知県名古屋市熱田区六野１－２－１１イオンモール熱田
にこぱなるぱーく,愛知県名古屋市緑区浦里３－２３２なるぱーく
アズパークファミリータウン,愛知県名古屋市中川区新家１丁目２４２１番地アズパークＳＣ２Ｆ
アピタ千代田橋店,愛知県名古屋市千種区千代田橋２－１－１アピタ千代田橋
アピタ名古屋北店,愛知県名古屋市北区辻町９－１アピタ名古屋北
アピタ名古屋北店スタジアム,愛知県名古屋市北区辻町９－１アピタ名古屋北３階
アピタ名古屋南店,愛知県名古屋市南区豊田４－９－４７アピタ名古屋南
アピタ港店,愛知県名古屋市港区当知２－１５０１ポートウォークみなと
アピタ鳴海店,愛知県名古屋市緑区鳴海町伝治山３－９アピタ鳴海
アーバンスクエア大須店,愛知県名古屋市中区大須３丁目３０番地３１号萬松寺駐車場ビル
イオン千種店ゲームコーナー,愛知県名古屋市千種区千種２－１６－１３イオンタウン千種２Ｆ
カラフルパーク有松店,愛知県名古屋市緑区鳴海町有松裏２００イオンタウン有松
サムソン千代田橋店,愛知県名古屋市千種区千代田橋２－１－１アピタ千代田橋３階
セガイオンタウン名西,愛知県名古屋市西区香呑町６－４９－１イオンタウン名西
セガワールド上小田井mozoワンダーシティ,愛知県名古屋市西区二方町４０番地ｍｏｚｏワンダーシティ
タイトーステーション大須店,愛知県名古屋市中区大須３－２０－７タイトーステーション大須
トイザらス名古屋中川店,愛知県名古屋市中川区新家１－２４２１アズパークＳＣ２Ｆ
ビックカメラ名古屋駅西店,愛知県名古屋市中村区椿町６－９ビックカメラ名古屋駅西
ファンタジックランド太平通店,愛知県名古屋市中川区宮脇町２－１１ヨシヅヤ太平通り
ファンタジープラザ名古屋店,愛知県名古屋市北区玄馬町２３４－１ドン・キホーテ名古屋本店２Ｆ
プラボナゴヤドーム前店,愛知県名古屋市東区矢田南四丁目１０２番３イオンモールナゴヤドーム前３Ｆ
モーリーファンタジーナゴヤドーム前店,愛知県名古屋市東区矢田南４丁目１０２番地の３イオンモールナゴヤドーム前３階
モーリーファンタジーメイトピア店,愛知県名古屋市名東区高間町501-1ダイエーメイトピア2F
モーリーファンタジーワンダーシティ店,愛知県名古屋市西区二方町４０イオンモール名古屋ワンダーシティ３階
モーリーファンタジー・f新瑞橋店,愛知県名古屋市南区菊住１丁目７－１０イオン新瑞橋３階
モーリーファンタジー上飯田店,愛知県名古屋市北区織部町1ダイエー上飯田3F
モーリーファンタジー南陽店,愛知県名古屋市港区春田野１－３３０イオン南陽３階
モーリーファンタジー名古屋みなと店,愛知県名古屋市港区品川町２－１－６イオン名古屋みなと３階
